repository_name,payload_commit_msg
rails,Merge pull request #9 from infosiftr/license Add upstream license (Expat)
rails,Merge pull request #10 from JuanitoFatas/doc/patch-1 Update CC BY-SA license to 4.0.
rails,add license links
rails,Delete LICENSE
rails,removed mit license because it was preventing successful heroku push
rails,Added actionview in API generation [ci skip] CHANGELOG and LICENSE removed as suggested
rails,Added actionview in API generation [ci skip] CHANGELOG and LICENSE removed as suggested
rails,"Organize README * Organized code status badges into a ""Code Status"" section. * Moved the OSI MIT License link inline (bullets are for unordered lists). * Removed all EOL whitespace. [ci skip]"
rails,Merge pull request #14942 from JuanitoFatas/patch/cc-by-sa-4-0 [ci skip] Update guides license to CC BY-SA 4.0 International.
rails,Merge pull request #14942 from JuanitoFatas/patch/cc-by-sa-4-0 [ci skip] Update guides license to CC BY-SA 4.0 International.
rails,"When mentioning in license files when the license reverts to plain MIT, use the date of the latest change instead of today"
rails,Added actionview in API generation CHANGELOG and LICENSE removed as suggested
rails,Merge pull request #10657 from AJ-Acevedo/plugin plugin new missing license spec
rails,add license
rails,[ci skip] Update guides license to CC BY-SA 4.0 International. Benefits: https://creativecommons.org/version4
rails,"Organize README * Organized code status badges into a ""Code Status"" section. * Moved the OSI MIT License link inline (bullets are for unordered lists). [ci skip]"
rails,Update MIT-LICENSE
rails,"Merge pull request #6462 from grosser/feature/licenses Add license field to gemspecs, by Matt Griffin"
rails,"Merge pull request #6462 from grosser/feature/licenses Add license field to gemspecs, by Matt Griffin"
rails,Update licenses
rails,"Reformat gemspec DRYed up and organized the gemspec file a bit. * Made quotes more consistent (single quotes dominated, so I used that). * Moved license line down a line, separating it logically, and removed the extra whitespace before its = operator. * Used a loop to add dependencies for all Rails components that use the same version. * Minor whitespace fixes such as padding the comma on the first line."
rails,Adicionando README e LICENSE
rails,Merge pull request #10657 from AJ-Acevedo/plugin plugin new missing license spec
rails,Added MIT-LICENSE for all rdoc.
rails,Added actionview in API generation [ci skip] CHANGELOG and LICENSE removed as suggested
rails,Added MIT-LICENSE for all rdoc.[ci skip]
rails,"Update rails.gemspec Release a rails-lts gem so that the assets can be bundled (and you can sell access to the git repo and give away the gems for free, per the 10 day community license)."
rails,Adapt dates in licenses
rails,"Reformat gemspecs DRYed up and organized the gemspec files a bit. * Made quotes more consistent (single quotes dominated, so I used that). * Moved license line down a line, separating it logically, and removed the extra whitespace before its = operator. * Used a loop to add dependencies for all Rails components that use the same version. * Minor whitespace fixes such as padding the comma on the first line."
rails,Update activemodel/MIT-LICENSE
rails,Added MIT-LICENSE for all rdoc.
rails,"Organize README * Organized code status badges into a ""Code Status"" section. * Moved the OSI MIT License link inline (bullets are for unordered lists). * Removed all EOL whitespace. [ci skip]"
rails,Merge pull request #10657 from AJ-Acevedo/plugin plugin new missing license spec
